@relation Training

@attribute Label {Malware,Goodware}
@attribute Protocol numeric
@attribute 'Address A' numeric
@attribute 'Port A' numeric
@attribute 'Address B' numeric
@attribute 'Port B' numeric
@attribute 'Packets A - B' numeric
@attribute 'Bytes A - B' numeric
@attribute 'Packets B - A' numeric
@attribute 'Bytes B - A' numeric

@data
Malware,17,1534712238,6892,167772687,1044,0,0,1,67
Malware,17,1534712239,6892,167772687,1044,0,0,1,67
Malware,17,1534712240,6892,167772687,1044,0,0,1,67
Malware,17,1534712241,6892,167772687,1044,0,0,1,67
Malware,17,1534712242,6892,167772687,1044,0,0,1,67
Malware,17,1534712243,6892,167772687,1044,0,0,1,67
Malware,17,1534712244,6892,167772687,1044,0,0,1,67
Malware,17,1534712245,6892,167772687,1044,0,0,1,67
Malware,17,1534712246,6892,167772687,1044,0,0,1,67
Malware,17,1534712247,6892,167772687,1044,0,0,1,67
Malware,17,1534712248,6892,167772687,1044,0,0,1,67
Malware,17,1534712249,6892,167772687,1044,0,0,1,67
Malware,17,1534712250,6892,167772687,1044,0,0,1,67
Malware,17,1534712251,6892,167772687,1044,0,0,1,67
Malware,17,1534712252,6892,167772687,1044,0,0,1,67
Malware,17,1534712253,6892,167772687,1044,0,0,1,67
Malware,17,1534712254,6892,167772687,1044,0,0,1,67
Malware,17,1534712255,6892,167772687,1044,0,0,1,67
Malware,17,1534712256,6892,167772687,1044,0,0,1,67
Malware,17,1534712257,6892,167772687,1044,0,0,1,67
Malware,17,1534712258,6892,167772687,1044,0,0,1,67
Malware,17,1534712259,6892,167772687,1044,0,0,1,67
Malware,17,1534712260,6892,167772687,1044,0,0,1,67
Malware,17,1534712261,6892,167772687,1044,0,0,1,67
Malware,17,1534712262,6892,167772687,1044,0,0,1,67
Malware,17,1534712263,6892,167772687,1044,0,0,1,67
Malware,17,1534712264,6892,167772687,1044,0,0,1,67
Malware,17,1534712265,6892,167772687,1044,0,0,1,67
Malware,17,1534712266,6892,167772687,1044,0,0,1,67
Malware,17,1534712267,6892,167772687,1044,0,0,1,67
Malware,17,1534712268,6892,167772687,1044,0,0,1,67
Malware,17,1534712269,6892,167772687,1044,0,0,1,67
Malware,17,1534712270,6892,167772687,1044,0,0,1,67
Malware,17,1534712271,6892,167772687,1044,0,0,1,67
Malware,17,1534712272,6892,167772687,1044,0,0,1,67
Malware,17,1534712273,6892,167772687,1044,0,0,1,67
Malware,17,1534712274,6892,167772687,1044,0,0,1,67
Malware,17,1534712275,6892,167772687,1044,0,0,1,67
Malware,17,1534712276,6892,167772687,1044,0,0,1,67
Malware,17,1534712277,6892,167772687,1044,0,0,1,67
Malware,17,1534712278,6892,167772687,1044,0,0,1,67
Malware,17,1534712279,6892,167772687,1044,0,0,1,67
Malware,17,1534712280,6892,167772687,1044,0,0,1,67
Malware,17,1534712281,6892,167772687,1044,0,0,1,67
Malware,17,1534712282,6892,167772687,1044,0,0,1,67
Malware,17,1534712283,6892,167772687,1044,0,0,1,67
Malware,17,1534712284,6892,167772687,1044,0,0,1,67
Malware,17,1534712285,6892,167772687,1044,0,0,1,67
Malware,17,1534712286,6892,167772687,1044,0,0,1,67
Malware,17,1534712287,6892,167772687,1044,0,0,1,67
Malware,17,1534712288,6892,167772687,1044,0,0,1,67
Malware,17,1534712289,6892,167772687,1044,0,0,1,67
Malware,17,1534712290,6892,167772687,1044,0,0,1,67
Malware,17,1534712291,6892,167772687,1044,0,0,1,67
Malware,17,1534712292,6892,167772687,1044,0,0,1,67
Malware,17,1534712293,6892,167772687,1044,0,0,1,67
Malware,17,1534712294,6892,167772687,1044,0,0,1,67
Malware,17,1534712295,6892,167772687,1044,0,0,1,67
Malware,17,1534712296,6892,167772687,1044,0,0,1,67
Malware,17,1534712297,6892,167772687,1044,0,0,1,67
Malware,17,1534712298,6892,167772687,1044,0,0,1,67
Malware,17,1534712299,6892,167772687,1044,0,0,1,67
Malware,17,1534712300,6892,167772687,1044,0,0,1,67
Malware,17,1534712301,6892,167772687,1044,0,0,1,67
Malware,17,1534712302,6892,167772687,1044,0,0,1,67
Malware,17,1534712303,6892,167772687,1044,0,0,1,67
Malware,17,1534712304,6892,167772687,1044,0,0,1,67
Malware,17,1534712305,6892,167772687,1044,0,0,1,67
Malware,17,1534712306,6892,167772687,1044,0,0,1,67
Malware,17,1534712307,6892,167772687,1044,0,0,1,67
Malware,17,1534712308,6892,167772687,1044,0,0,1,67
Malware,17,1534712309,6892,167772687,1044,0,0,1,67
Malware,17,1534712310,6892,167772687,1044,0,0,1,67
Malware,17,1534712311,6892,167772687,1044,0,0,1,67
Malware,17,1534712312,6892,167772687,1044,0,0,1,67
Malware,17,1534712313,6892,167772687,1044,0,0,1,67
Malware,17,1534712314,6892,167772687,1044,0,0,1,67
Malware,17,1534712315,6892,167772687,1044,0,0,1,67
Malware,17,1534712316,6892,167772687,1044,0,0,1,67
Malware,17,1534712317,6892,167772687,1044,0,0,1,67
Malware,17,1534712318,6892,167772687,1044,0,0,1,67
Malware,17,1534712319,6892,167772687,1044,0,0,1,67
Malware,17,1534712320,6892,167772687,1044,0,0,1,67
Malware,17,1534712321,6892,167772687,1044,0,0,1,67
Malware,17,1534712322,6892,167772687,1044,0,0,1,67
Malware,17,1534712323,6892,167772687,1044,0,0,1,67
Malware,17,1534712324,6892,167772687,1044,0,0,1,67
Malware,17,1534712325,6892,167772687,1044,0,0,1,67
Malware,17,1534712326,6892,167772687,1044,0,0,1,67
Malware,17,1534712327,6892,167772687,1044,0,0,1,67
Malware,17,1534712328,6892,167772687,1044,0,0,1,67
Malware,17,1534712329,6892,167772687,1044,0,0,1,67
Malware,17,1534712330,6892,167772687,1044,0,0,1,67
Malware,17,1534712331,6892,167772687,1044,0,0,1,67
Malware,17,1534712332,6892,167772687,1044,0,0,1,67
Malware,17,1534712333,6892,167772687,1044,0,0,1,67
Malware,17,1534712334,6892,167772687,1044,0,0,1,67
Malware,17,1534712335,6892,167772687,1044,0,0,1,67
Malware,17,1534712336,6892,167772687,1044,0,0,1,67
Malware,17,1534712337,6892,167772687,1044,0,0,1,67
Malware,17,1534712338,6892,167772687,1044,0,0,1,67
Malware,17,1534712339,6892,167772687,1044,0,0,1,67
Malware,17,1534712340,6892,167772687,1044,0,0,1,67
Malware,17,1534712341,6892,167772687,1044,0,0,1,67
Malware,17,1534712342,6892,167772687,1044,0,0,1,67
Malware,17,1534712343,6892,167772687,1044,0,0,1,67
Malware,17,1534712344,6892,167772687,1044,0,0,1,67
Malware,17,1534712345,6892,167772687,1044,0,0,1,67
Malware,17,1534712346,6892,167772687,1044,0,0,1,67
Malware,17,1534712347,6892,167772687,1044,0,0,1,67
Malware,17,1534712348,6892,167772687,1044,0,0,1,67
Malware,17,1534712349,6892,167772687,1044,0,0,1,67
Malware,17,1534712350,6892,167772687,1044,0,0,1,67
Malware,17,1534712351,6892,167772687,1044,0,0,1,67
Malware,17,1534712352,6892,167772687,1044,0,0,1,67
Malware,17,1534712353,6892,167772687,1044,0,0,1,67
Malware,17,1534712354,6892,167772687,1044,0,0,1,67
Malware,17,1534712355,6892,167772687,1044,0,0,1,67
Malware,17,1534712356,6892,167772687,1044,0,0,1,67
Malware,17,1534712357,6892,167772687,1044,0,0,1,67
Malware,17,1534712358,6892,167772687,1044,0,0,1,67
Malware,17,1534712359,6892,167772687,1044,0,0,1,67
Malware,17,1534712360,6892,167772687,1044,0,0,1,67
Malware,17,1534712361,6892,167772687,1044,0,0,1,67
Malware,17,1534712362,6892,167772687,1044,0,0,1,67
Malware,17,1534712363,6892,167772687,1044,0,0,1,67
